Temps,Vitesse
9.66667,2.99519
9.68333,2.99
9.7,2.98482
9.71667,2.97965
9.73333,2.97449
9.75,2.96935
9.76667,2.96421
9.78333,2.95909
9.8,2.95398
9.81667,2.94888
9.83333,2.94378
9.85,2.9387
9.86667,2.93363
9.88333,2.92858
9.9,2.92353
9.91667,2.91849
9.93333,2.91346
9.95,2.90845
9.96667,2.90344
9.98333,2.89844
10,2.89346
10.0167,2.88849
10.0333,2.88352
10.05,2.87857
10.0667,2.87363
10.0833,2.86869
10.1,2.86377
10.1167,2.85886
10.1333,2.85396
10.15,2.84907
10.1667,2.84418
10.1833,2.83931
10.2,2.83445
10.2167,2.8296
10.2333,2.82476
10.25,2.81993
10.2667,2.81511
10.2833,2.8103
10.3,2.8055
10.3167,2.80071
10.3333,2.79593
10.35,2.79116
10.3667,2.7864
10.3833,2.78165
10.4,2.77691
10.4167,2.77218
10.4333,2.76746
10.45,2.76275
10.4667,2.75805
10.4833,2.75335
10.5,2.74867
10.5167,2.744
10.5333,2.73934
10.55,2.73468
10.5667,2.73004
10.5833,2.72541
10.6,2.72078
10.6167,2.71617
10.6333,2.71156
10.65,2.70697
10.6667,2.70238
10.6833,2.6978
10.7,2.69324
10.7167,2.68868
10.7333,2.68413
10.75,2.67959
10.7667,2.67506
10.7833,2.67054
10.8,2.66603
10.8167,2.66153
10.8333,2.65703
10.85,2.65255
10.8667,2.64807
10.8833,2.64361
10.9,2.63915
10.9167,2.6347
10.9333,2.63027
10.95,2.62584
10.9667,2.62142
10.9833,2.617
11,2.6126
11.0167,2.60821
11.0333,2.60382
11.05,2.59945
11.0667,2.59508
11.0833,2.59072
11.1,2.58637
11.1167,2.58203
11.1333,2.5777
11.15,2.57338
11.1667,2.56906
11.1833,2.56476
11.2,2.56046
11.2167,2.55617
11.2333,2.55189
11.25,2.54762
11.2667,2.54336
11.2833,2.53911
11.3,2.53486
11.3167,2.53063
11.3333,2.5264
11.35,2.52218
11.3667,2.51797
11.3833,2.51377
11.4,2.50957
11.4167,2.50538
11.4333,2.50121
11.45,2.49704
11.4667,2.49288
11.4833,2.48873
11.5,2.48458
11.5167,2.48045
11.5333,2.47632
11.55,2.4722
11.5667,2.46809
11.5833,2.46398
11.6,2.45989
11.6167,2.4558
11.6333,2.45172
11.65,2.44765
11.6667,2.44359
11.6833,2.43954
11.7,2.43549
11.7167,2.43145
11.7333,2.42742
11.75,2.4234
11.7667,2.41939
11.7833,2.41538
11.8,2.41138
11.8167,2.40739
11.8333,2.40341
11.85,2.39943
