Temps (s);Vitesse angulaire (rad/s)
4,8333454;8,592005
4,8416786;8,589757
4,850012;8,58751
4,858345;8,585263
4,866678;8,583017
4,8750114;8,580772
4,8833447;8,578527
4,891678;8,576283
4,900011;8,574039
4,9083443;8,571796
4,9166775;8,569554
4,9250107;8,567312
4,933344;8,565071
4,941677;8,56283
4,9500103;8,56059
4,9583435;8,558351
4,9666767;8,556111
4,97501;8,553873
4,983343;8,551636
4,9916763;8,549398
5,0000095;8,547162
5,0083427;8,544926
5,016676;8,54269
5,025009;8,540456
5,0333424;8,538221
5,0416756;8,535988
5,050009;8,533754
5,058342;8,531522
5,066675;8,52929
5,0750084;8,527059
5,0833416;8,524828
5,091675;8,522597
5,100008;8,520368
5,108341;8,518139
5,1166744;8,51591
5,1250076;8,513682
5,133341;8,511456
5,141674;8,509229
5,1500072;8,507003
5,1583405;8,504777
5,1666737;8,502552
5,175007;8,500328
5,18334;8,498104
5,1916733;8,495881
5,2000065;8,493658
5,2083397;8,491436
5,216673;8,489215
5,225006;8,486994
5,2333393;8,484774
5,2416725;8,4825535
5,2500057;8,480334
5,258339;8,478116
5,266672;8,475898
5,2750053;8,4736805
5,2833385;8,471464
5,2916718;8,469248
5,300005;8,467032
5,308338;8,464817
5,3166714;8,462603
5,3250046;8,460389
5,333338;8,458176
5,341671;8,455963
5,350004;8,453751
5,3583374;8,451539
5,3666706;8,449328
5,375004;8,447118
5,383337;8,444908
5,39167;8,4426985
5,4000034;8,44049
5,4083366;8,438282
5,41667;8,436074
5,425003;8,433867
5,4333363;8,431661
5,4416695;8,429455
5,4500027;8,42725
5,458336;8,425045
5,466669;8,422841
5,4750023;8,420637
5,4833355;8,418434
5,4916687;8,416232
5,500002;8,41403
5,508335;8,411829
5,5166683;8,409628
5,5250015;8,407428
5,5333347;8,405229
5,541668;8,403029
5,550001;8,400831
5,5583344;8,398634
5,5666676;8,396437
5,575001;8,39424
5,583334;8,392044
5,591667;8,389849
5,6000004;8,387654
5,6083336;8,38546
5,616667;8,383266
5,625;8,381073
5,633333;8,3788805
5,6416664;8,376689
5,6499996;8,374497
5,658333;8,372307
5,666666;8,370116
5,674999;8,367927
5,6833324;8,365738
5,6916656;8,363549
5,699999;8,3613615
5,708332;8,359174
5,7166653;8,356987
5,7249985;8,354801
5,7333317;8,352615
5,741665;8,3504305
5,749998;8,348246
5,7583313;8,346062
5,7666645;8,343879
5,7749977;8,341696
5,783331;8,339514
5,791664;8,337332
5,7999973;8,335151
5,8083305;8,332971
